=== BOARDS ===
partId | name | category
-------|------|--------
board-013 | Microbit | MCU
board-005 | Arduino | MCU
board-001 | Mabit Shield V2 | MCU
board-004 | 00duino V3 | MCU
board-012 | Data Science Lab Mabit | MCU
board-002 | Data Science Lab | MCU
board-014 | Arduino Nano Shield | MCU
board-006 | Arduino Gorilla Shield | MCU
board-007 | Rich Shield V3 | MCU
board-015 | Pico Py Shield | MCU
board-010 | ESP32 | MCU
board-003 | ESP32 Shield V3 | MCU
board-008 | Mega SuperRich | MCU
board-009 | ESP SuperRich | MCU
board-011 | DSL Mini V2 | MCU

=== MODULES ===
partId | name | category | pins
-------|------|----------|-----

--- 아날로그센서(Analog) ---
a-001 | High Temperature Sensor | A | 3
a-002 | High Temperature Sensor Prob | A | 2
a-003 | Water Temp | A | 3
a-004 | Water Temp Prob | A | 2
a-005 | NTC Temp | A | 3
a-006 | Light Sensor | A | 3
a-007 | UV Sensor V2 | A | 3
a-008 | Moisture Sensor | A | 3
a-009 | PH Sensor | A | 3
a-010 | PH Sensor Prob | A | 2
a-011 | Electrical Conduction | A | 3
a-012 | Electrical Conduction Sensor | A | 2
a-013 | Turbidity Sensor | A | 3
a-014 | Turbidity Sensor Prob | A | 2
a-015 | Water Sensor | A | 3
a-016 | Fine Dust | A | 4
a-017 | Fine Dust Prob | A | 2
a-018 | Fine Dust Sensor | A | 2
a-019 | Vibration Sensor | A | 3
a-020 | Vibration Sensor Prob | A | 2
a-021 | Magnet | A | 3
a-022 | Analog Touch Sensor | A | 3
a-023 | FSR Sensor | A | 3
a-024 | FSR Sensor Prob | A | 2
a-025 | Rotation Sensor | A | 3
a-026 | Infinite Rotation Sensor | A | 3
a-027 | Slider | A | 3
a-028 | Joystick | A | 4
a-029 | Line Finder | A | 3
a-030 | Sound V2 | A | 3
a-031 | IR Object | A | 3
a-032 | Current Sensor 1A | A | 3
a-033 | Current Sensor 1A Prob | A | 2
a-034 | Voltage Sensor | A | 3
a-050 | Gas MQ2 | A | 3
a-051 | Gas MQ3 | A | 3
a-052 | Gas MQ4 | A | 3
a-053 | Gas MQ5 | A | 3
a-054 | Gas MQ6 | A | 3
a-055 | Gas MQ7 | A | 3
a-056 | Gas MQ8 | A | 3
a-057 | Gas MQ9 | A | 3
a-058 | Gas MQ135 | A | 3

--- 통신장치(Communication) ---
c-001 | Bluetooth 4.0 (JDY33) | C | 4
c-002 | WiFi ESP12E | C | 4
c-003 | RF 433MHz Tx | C | 3
c-004 | RF 433MHz Rx | C | 3
c-005 | IR Transmitter | C | 3
c-006 | IR Receiver | C | 3
c-007 | USB to UART Converter | C | 4
c-008 | Wireless Uploader | C | 6
c-009 | Wireless Uploader Dongle | C | 0
c-010 | ESP32CAM | C | 2

--- 디지털센서(Digital) ---
d-001 | Temp and Humi (DHT11) | D | 3
d-002 | Temp and Humi DHT22 | D | 3
d-003 | CO2 Sensor Z219D | D | 4
d-004 | PMS7003 Sensor | D | 4
d-005 | PMS3003 Adapter | D | 4
d-006 | PMS3003 Sensor | D | 2
d-007 | Ultrasonic Sensor | D | 4
d-008 | Ultrasonic Sensor Adapter | D | 4
d-009 | Ultrasonic Sensor V2 | D | 4
